year,driverRef,constructorRef,grid,position,driverName,constructorName
2014,vettel,red_bull,2,3.0,Sebastian Vettel,Red Bull
2014,alonso,ferrari,4,4.0,Fernando Alonso,Ferrari
2014,hulkenberg,force_india,7,5.0,Nico Hülkenberg,Force India
2014,button,mclaren,10,6.0,Jenson Button,McLaren
2014,massa,williams,13,7.0,Felipe Massa,Williams
2014,bottas,williams,18,8.0,Valtteri Bottas,Williams
2014,kevin_magnussen,mclaren,8,9.0,Kevin Magnussen,McLaren
2014,kvyat,toro_rosso,11,10.0,Daniil Kvyat,Toro Rosso
2014,grosjean,lotus_f1,15,11.0,Romain Grosjean,Lotus F1
2014,raikkonen,ferrari,6,12.0,Kimi Räikkönen,Ferrari
2014,kobayashi,caterham,20,13.0,Kamui Kobayashi,Caterham
2014,ericsson,caterham,22,14.0,Marcus Ericsson,Caterham
2014,chilton,marussia,21,15.0,Max Chilton,Marussia
2015,vettel,ferrari,2,1.0,Sebastian Vettel,Ferrari
2015,hamilton,mercedes,1,2.0,Lewis Hamilton,Mercedes
2015,rosberg,mercedes,3,3.0,Nico Rosberg,Mercedes
2015,raikkonen,ferrari,11,4.0,Kimi Räikkönen,Ferrari
2015,bottas,williams,8,5.0,Valtteri Bottas,Williams
2015,massa,williams,7,6.0,Felipe Massa,Williams
2015,max_verstappen,toro_rosso,6,7.0,Max Verstappen,Toro Rosso
2015,sainz,toro_rosso,15,8.0,Carlos Sainz,Toro Rosso
2015,kvyat,red_bull,5,9.0,Daniil Kvyat,Red Bull
2015,ricciardo,red_bull,4,10.0,Daniel Ricciardo,Red Bull
2015,grosjean,lotus_f1,10,11.0,Romain Grosjean,Lotus F1
2015,nasr,sauber,16,12.0,Felipe Nasr,Sauber
2015,perez,force_india,14,13.0,Sergio Pérez,Force India
2015,hulkenberg,force_india,13,14.0,Nico Hülkenberg,Force India
2015,merhi,manor,19,15.0,Roberto Merhi,Manor Marussia
2016,ricciardo,red_bull,4,1.0,Daniel Ricciardo,Red Bull
2016,max_verstappen,red_bull,3,2.0,Max Verstappen,Red Bull
2016,rosberg,mercedes,2,3.0,Nico Rosberg,Mercedes
2016,raikkonen,ferrari,6,4.0,Kimi Räikkönen,Ferrari
2016,bottas,williams,11,5.0,Valtteri Bottas,Williams
2016,perez,force_india,7,6.0,Sergio Pérez,Force India
2016,alonso,mclaren,22,7.0,Fernando Alonso,McLaren
2016,hulkenberg,force_india,8,8.0,Nico Hülkenberg,Force India
2016,button,mclaren,9,9.0,Jenson Button,McLaren
2016,jolyon_palmer,renault,19,10.0,Jolyon Palmer,Renault
2016,sainz,toro_rosso,16,11.0,Carlos Sainz,Toro Rosso
2016,ericsson,sauber,17,12.0,Marcus Ericsson,Sauber
2016,massa,williams,10,13.0,Felipe Massa,Williams
2016,kvyat,toro_rosso,15,14.0,Daniil Kvyat,Toro Rosso
2016,wehrlein,manor,21,15.0,Pascal Wehrlein,Manor Marussia
2016,ocon,manor,20,16.0,Esteban Ocon,Manor Marussia
2017,max_verstappen,red_bull,3,1.0,Max Verstappen,Red Bull
2017,hamilton,mercedes,1,2.0,Lewis Hamilton,Mercedes
2017,ricciardo,red_bull,4,3.0,Daniel Ricciardo,Red Bull
2017,vettel,ferrari,20,4.0,Sebastian Vettel,Ferrari
2017,bottas,mercedes,5,5.0,Valtteri Bottas,Mercedes
2017,perez,force_india,9,6.0,Sergio Pérez,Force India
2017,vandoorne,mclaren,7,7.0,Stoffel Vandoorne,McLaren
